Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BLMT,"BSB Bancorp, Inc.",28.4,258497254.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/blmt
BSQR,BSQUARE Corporation,5.95,74090256.8,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/bsqr
BWLD,"Buffalo Wild Wings, Inc.",151.25,2753071709,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bwld
BLDR,"Builders FirstSource, Inc.",11.37,1268188902,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bldr
BMLA,BullMark LatAm Select Leaders ETF,27.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bmla
BUR,Burcon NutraScience Corp,2.0465,77405706.8,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bur
CFFI,C&F Financial Corporation,47.45,164159728.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cffi
CHRW,"C.H. Robinson Worldwide, Inc.",74.15,10508484315,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw
CA,CA Inc.,33.19,13868010561,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,63.79,1570372077,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp
CDNS,"Cadence Design Systems, Inc.",25.65,7354239750,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns
CDZI,"Cadiz, Inc.",12.35,258158299.1,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cdzi
CACQ,Caesars Acquisition Company,13.8,1907504627,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cacq
CZR,Caesars Entertainment Corporation,8.9,1307966802,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/czr
CSTE,Caesarstone Ltd.,29.35,1032833984,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cste
PRSS,CafePress Inc.,3.01,50139655.93,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/prss
CLBS,"Caladrius Biosciences, Inc.",3.28,26795654.96,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/clbs
CLMS,"Calamos Asset Management, Inc.",8.57,175947850.5,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/clms
CHY,Calamos Convertible and High Income Fund,10.83,785575829.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/chy
